datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:43.000Z,17.79,1013,100,1.1,63,Clouds
2021-07-04T08:15:09.000Z,18.97,1013,100,1.3,42,Clouds
2021-07-04T12:15:15.000Z,21.5,990,89,0.45,133,Clouds
2021-07-04T16:15:10.000Z,23.65,1000,24,3.16,156,Clouds
2021-07-04T20:15:11.000Z,23.6,1000,15,1.78,148,Clouds
2021-07-05T00:15:14.000Z,18.24,990,39,0.55,343,Clouds
2021-07-05T04:15:11.000Z,16.36,1013,80,1.42,25,Clouds
2021-07-05T08:15:12.000Z,17.65,1012,89,1.49,41,Clouds
2021-07-05T12:15:14.000Z,23,1008,97,2.86,115,Clouds
2021-07-05T16:15:10.000Z,23.5,1008,100,2.63,113,Clouds
2021-07-05T20:15:12.000Z,23.41,1008,77,0.86,85,Clouds
2021-07-06T00:15:13.000Z,17.62,1008,24,1.34,18,Clouds
2021-07-06T04:15:14.000Z,16.9,1008,100,1.26,48,Rain
2021-07-06T08:15:11.000Z,18.15,984,100,0.75,89,Clouds
2021-07-06T12:15:14.000Z,19.76,985,99,0.45,71,Rain
2021-07-06T16:15:12.000Z,23.05,995,97,1.79,54,Clouds
2021-07-06T20:15:11.000Z,21.27,985,71,0.45,230,Clouds
2021-07-07T00:15:14.000Z,16.7,985,100,0.83,64,Rain
2021-07-07T04:15:07.000Z,15.77,1008,100,1.2,91,Clouds
2021-07-07T08:15:10.000Z,16.73,986,100,0.93,174,Clouds
2021-07-07T12:15:14.000Z,19.79,997,39,0.45,223,Clouds
2021-07-07T16:15:12.000Z,20.53,990,78,0.45,269,Clouds
2021-07-07T20:15:13.000Z,19.98,992,44,0.45,136,Clouds
2021-07-08T00:15:14.000Z,16.1,994,2,0.45,359,Clear
2021-07-08T04:15:15.000Z,14.71,1017,50,1.52,178,Clouds
2021-07-08T08:15:12.000Z,16.2,996,58,2.05,184,Clouds
2021-07-08T12:15:09.000Z,19.99,997,95,3.78,188,Clouds
2021-07-08T16:15:12.000Z,22.01,998,90,0.89,135,Clouds
2021-07-08T20:15:08.000Z,21.4,998,63,0.45,270,Clouds
2021-07-09T00:15:12.000Z,15.84,1022,12,1.72,165,Clouds
2021-07-09T04:15:11.000Z,13.54,1022,100,1.14,151,Clouds
2021-07-09T08:15:11.000Z,14.31,1022,95,0.47,227,Clouds
2021-07-09T12:15:12.000Z,20.97,1019,39,1.57,165,Clouds
2021-07-09T16:15:15.000Z,24.66,998,100,0.45,220,Clouds
2021-07-09T20:15:18.000Z,21.25,997,100,0.95,118,Clouds
2021-07-10T00:15:11.000Z,17.68,1019,78,1.5,8,Clouds
2021-07-10T04:15:11.000Z,17.22,994,100,1.59,6,Clouds
2021-07-10T08:15:10.000Z,16.63,1016,100,1.82,354,Rain
2021-07-10T12:15:10.000Z,16.68,989,100,4.7,2,Rain
2021-07-10T16:15:10.000Z,16.06,1006,100,2.68,84,Clouds
2021-07-10T20:15:13.000Z,16.71,994,100,2.68,321,Clouds
2021-07-11T00:15:17.000Z,15.97,986,100,1.68,267,Clouds
2021-07-11T04:15:11.000Z,15.05,986,69,0.87,240,Clouds
2021-07-11T08:15:11.000Z,15.91,988,40,0.55,179,Clouds
2021-07-11T12:15:13.000Z,21.07,1000,50,0.45,268,Clouds
2021-07-11T16:15:16.000Z,23.47,1001,21,0.45,178,Clouds
2021-07-11T20:15:09.000Z,21.78,993,12,0.45,113,Clouds
2021-07-12T00:15:12.000Z,16.73,995,4,2.1,162,Clear
2021-07-12T04:15:12.000Z,15.37,1017,31,1.21,79,Clouds
2021-07-12T08:15:11.000Z,16.36,996,39,0.91,118,Clouds
2021-07-12T12:15:12.000Z,21.48,1005,21,2.93,178,Clouds
2021-07-12T16:15:13.000Z,23.65,1005,100,3.36,189,Clouds
2021-07-12T20:15:14.000Z,23.87,1004,50,2.39,190,Clouds
2021-07-13T00:15:19.000Z,16.46,1018,79,0.63,301,Clouds
2021-07-13T04:15:12.000Z,14.01,1018,100,0.87,15,Clouds
2021-07-13T08:15:11.000Z,16.3,1018,81,0.94,32,Clouds
2021-07-13T12:15:15.000Z,24.16,1015,100,1.69,64,Clouds
2021-07-13T16:15:13.000Z,27.2,1015,59,0.89,53,Clouds
2021-07-13T20:15:16.000Z,28.01,1002,71,1.4,31,Clouds
2021-07-14T00:15:11.000Z,21.17,1015,76,1.8,9,Clouds
2021-07-14T04:15:14.000Z,19.38,1015,100,1.8,22,Clouds
2021-07-14T08:15:12.000Z,19.73,1015,100,1.68,15,Clouds
2021-07-14T12:15:09.000Z,21.79,991,100,1.67,31,Clouds
2021-07-14T16:15:16.000Z,23.42,990,93,0.21,352,Rain
2021-07-14T20:15:12.000Z,23.16,989,68,1.32,50,Rain
2021-07-15T00:15:15.000Z,20.12,989,5,0.58,89,Clear
2021-07-15T04:15:19.000Z,18.46,989,9,0.14,131,Clear
2021-07-15T08:15:10.000Z,19.08,989,20,0.58,245,Clouds
2021-07-15T12:15:10.000Z,25.27,989,20,2.17,220,Clouds
2021-07-15T16:15:12.000Z,29.06,990,0,2.43,224,Clear
2021-07-15T20:15:12.000Z,29.67,990,0,2.91,212,Clear
2021-07-16T00:15:13.000Z,21.19,1014,0,0.96,309,Clear
2021-07-16T04:15:11.000Z,16.57,1018,0,2.95,12,Clear
2021-07-16T08:15:09.000Z,17.64,1020,7,3.15,35,Clear
2021-07-16T12:15:11.000Z,22.48,1020,67,2.3,41,Clouds
2021-07-16T16:15:16.000Z,26.67,997,0,1.14,225,Clear
2021-07-16T20:15:11.000Z,27.15,995,0,2.49,167,Clear
2021-07-17T00:15:16.000Z,21.61,1017,0,1.53,180,Clear
2021-07-17T04:15:10.000Z,16.89,1017,3,0.76,265,Clear
2021-07-17T08:15:12.000Z,17.24,1017,1,0.92,285,Clear
2021-07-17T12:15:14.000Z,23.63,1016,0,2.09,255,Clear
2021-07-17T16:15:15.000Z,28.02,993,0,3.86,225,Clear
2021-07-17T20:15:13.000Z,26.72,989,51,4.75,290,Clouds
2021-07-18T00:15:15.000Z,20.71,1010,14,2.66,278,Clouds
2021-07-18T04:15:12.000Z,17.12,1009,95,1.96,246,Clouds
2021-07-18T08:15:09.000Z,16.13,1010,30,2.56,313,Clouds
2021-07-18T12:15:15.000Z,20.19,1011,0,1.48,14,Clear
2021-07-18T16:15:11.000Z,22.25,1011,92,0.57,106,Clouds
2021-07-18T20:15:10.000Z,22.25,990,95,1.57,30,Clouds
2021-07-19T00:15:14.000Z,16.8,1015,92,1.58,26,Clouds
2021-07-19T04:15:11.000Z,13.45,1018,34,0.94,52,Clouds
2021-07-19T08:15:15.000Z,13.32,996,18,1.02,200,Clouds
2021-07-19T12:15:11.000Z,19.52,995,55,3.32,206,Clouds
2021-07-19T16:15:21.000Z,23.32,993,80,0.45,317,Clouds
2021-07-19T20:15:13.000Z,22.43,990,78,5.28,178,Clouds
