datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:39.000Z,34.05,1005,20,0,0,Haze
2021-07-04T08:15:04.000Z,34.05,1005,20,0,0,Haze
2021-07-04T12:15:07.000Z,38.05,1003,12,3.6,300,Dust
2021-07-04T16:15:05.000Z,38.05,1001,40,2.57,320,Haze
2021-07-04T20:15:06.000Z,33.05,1003,40,2.57,230,Haze
2021-07-05T00:15:07.000Z,30.05,1003,40,2.06,260,Haze
2021-07-05T04:15:05.000Z,29.05,1004,40,2.57,260,Haze
2021-07-05T08:15:06.000Z,34.05,1005,40,2.57,280,Haze
2021-07-05T12:15:07.000Z,39.05,1003,40,2.06,70,Haze
2021-07-05T16:15:05.000Z,39.05,1000,40,3.09,320,Haze
2021-07-05T20:15:06.000Z,32.05,1004,40,2.06,250,Haze
2021-07-06T00:15:07.000Z,31.05,1002,40,2.06,270,Haze
2021-07-06T04:15:07.000Z,30.05,1003,40,2.57,260,Haze
2021-07-06T08:15:05.000Z,35.05,1003,20,4.12,260,Haze
2021-07-06T12:15:08.000Z,40.05,1001,40,4.12,310,Haze
2021-07-06T16:15:06.000Z,38.05,999,40,3.6,270,Haze
2021-07-06T20:15:06.000Z,35.05,1001,20,2.57,300,Haze
2021-07-07T00:15:08.000Z,33.05,1000,20,1.54,250,Haze
2021-07-07T04:15:04.000Z,31.05,1001,25,2.06,250,Haze
2021-07-07T08:15:05.000Z,37.05,1002,45,4.63,270,Haze
2021-07-07T12:15:07.000Z,41.05,1001,40,4.12,280,Haze
2021-07-07T16:15:06.000Z,39.05,998,40,3.6,270,Haze
2021-07-07T20:15:07.000Z,35.05,999,40,2.57,240,Haze
2021-07-08T00:15:07.000Z,33.05,999,40,2.06,270,Haze
2021-07-08T04:15:07.000Z,33.05,1000,40,5.14,260,Haze
2021-07-08T08:15:06.000Z,37.05,1002,52,4.63,270,Haze
2021-07-08T12:15:04.000Z,40.05,1001,32,4.12,320,Haze
2021-07-08T16:15:06.000Z,39.05,998,40,3.6,330,Haze
2021-07-08T20:15:04.000Z,37.05,1000,40,2.57,50,Haze
2021-07-09T00:15:07.000Z,31.05,1001,75,6.17,120,Haze
2021-07-09T04:15:06.000Z,30.05,1002,75,5.66,110,Haze
2021-07-09T08:15:06.000Z,32.3,1003,75,2.06,90,Haze
2021-07-09T12:15:06.000Z,37.05,1001,20,2.06,50,Haze
2021-07-09T16:15:08.000Z,36.05,999,20,3.09,60,Haze
2021-07-09T20:15:10.000Z,33.05,1001,40,3.09,100,Haze
2021-07-10T00:15:06.000Z,32.05,1001,40,4.12,110,Haze
2021-07-10T04:15:06.000Z,30.05,1001,40,3.09,120,Mist
2021-07-10T08:15:05.000Z,34.05,1003,40,4.12,100,Haze
2021-07-10T12:15:05.000Z,38.05,1000,40,4.12,90,Haze
2021-07-10T16:15:06.000Z,37.05,998,20,3.09,60,Haze
2021-07-10T20:15:07.000Z,35.05,1001,20,3.09,100,Haze
2021-07-11T00:15:08.000Z,32.05,1002,20,5.66,110,Haze
2021-07-11T04:15:06.000Z,30.05,1002,20,4.12,100,Mist
2021-07-11T08:15:06.000Z,34.05,1003,20,3.6,130,Haze
2021-07-11T12:15:07.000Z,37.05,1001,75,3.6,90,Haze
2021-07-11T16:15:09.000Z,36.05,1001,75,5.14,100,Haze
2021-07-11T20:15:05.000Z,30.05,1004,75,5.66,110,Mist
2021-07-12T00:15:06.000Z,29.05,1004,75,3.6,110,"Mist, Rain"
2021-07-12T04:15:06.000Z,29.05,1005,75,4.12,110,Mist
2021-07-12T08:15:05.000Z,32.05,1006,75,4.63,110,Haze
2021-07-12T12:15:06.000Z,35.05,1004,75,4.63,100,Haze
2021-07-12T16:15:08.000Z,33.05,1002,75,6.69,100,Haze
2021-07-12T20:15:10.000Z,31.05,1004,75,4.12,100,Haze
2021-07-13T00:15:07.000Z,30.05,1003,75,4.12,110,Mist
2021-07-13T04:15:06.000Z,30.05,1004,75,3.6,100,Mist
2021-07-13T08:15:06.000Z,28.05,1005,90,0,0,Rain
2021-07-13T12:15:07.000Z,32.05,1004,75,4.12,20,Mist
2021-07-13T16:15:07.000Z,30.05,1003,75,3.6,100,"Mist, Rain"
2021-07-13T20:15:08.000Z,29.05,1004,75,0,0,Mist
2021-07-14T00:15:06.000Z,28.05,1003,75,0,0,Mist
2021-07-14T04:15:08.000Z,28.05,1002,75,2.06,100,Mist
2021-07-14T08:15:06.000Z,34.05,1004,75,4.12,150,Haze
2021-07-14T12:15:05.000Z,27.05,1004,90,4.12,40,"Drizzle, Rain"
2021-07-14T16:15:08.000Z,27.05,1001,75,3.09,350,Rain
2021-07-14T20:15:07.000Z,26.05,1004,40,2.57,50,Mist
2021-07-15T00:15:09.000Z,26.05,1003,40,3.09,50,Mist
2021-07-15T04:15:10.000Z,25.05,1004,40,2.57,80,Mist
2021-07-15T08:15:05.000Z,33.05,1005,20,3.6,140,Haze
2021-07-15T12:15:06.000Z,31.05,1004,75,3.09,20,Mist
2021-07-15T16:15:07.000Z,33.05,1002,40,4.12,10,Haze
2021-07-15T20:15:07.000Z,31.05,1004,40,3.09,40,Mist
2021-07-16T00:15:07.000Z,30.05,1005,40,3.6,90,Mist
2021-07-16T04:15:06.000Z,30.05,1006,40,3.09,90,Mist
2021-07-16T08:15:05.000Z,35.05,1006,58,3.09,130,Haze
2021-07-16T12:15:06.000Z,37.05,1005,40,2.57,70,Haze
2021-07-16T16:15:08.000Z,36.05,1002,40,2.57,60,Haze
2021-07-16T20:15:06.000Z,33.05,1004,40,2.57,80,Haze
2021-07-17T00:15:09.000Z,31.05,1004,40,3.09,100,Mist
2021-07-17T04:15:05.000Z,29.05,1004,40,2.06,100,Mist
2021-07-17T08:15:07.000Z,34.05,1003,40,1.54,190,Haze
2021-07-17T12:15:07.000Z,37.05,1001,40,2.57,310,Haze
2021-07-17T16:15:08.000Z,36.05,1000,75,4.15,354,"Haze, Rain"
2021-07-17T20:15:07.000Z,29.05,1002,75,3.6,160,Mist
2021-07-18T00:15:07.000Z,29.05,1000,75,1.54,130,Mist
2021-07-18T04:15:06.000Z,30.05,999,75,2.57,200,Mist
2021-07-18T08:15:05.000Z,37.26,999,100,3.04,270,Rain
