datetime,temperature,pressure,humidity,wind_speed,wind_deg,summary
2021-07-04T08:10:42.000Z,16.78,1011,75,2.57,250,Clouds
2021-07-04T08:15:07.000Z,16.61,1011,90,2.06,150,Clouds
2021-07-04T12:15:12.000Z,18.77,1010,90,0.89,217,Clouds
2021-07-04T16:15:08.000Z,20.94,1009,75,0.89,225,Clouds
2021-07-04T20:15:09.000Z,20.44,1009,75,1.34,225,Clouds
2021-07-05T00:15:12.000Z,17.04,1011,75,0,0,Clouds
2021-07-05T04:15:09.000Z,16.26,1010,0,2.06,220,Clear
2021-07-05T08:15:10.000Z,14.71,1008,75,2.06,120,Clouds
2021-07-05T12:15:11.000Z,17.71,1007,90,0.89,240,Clouds
2021-07-05T16:15:09.000Z,22.21,1008,90,2.68,219,Clouds
2021-07-05T20:15:10.000Z,21.16,1007,90,2.24,233,Clouds
2021-07-06T00:15:11.000Z,19.8,1005,90,2.57,200,Clouds
2021-07-06T04:15:12.000Z,19.6,1003,90,2.24,325,Rain
2021-07-06T08:15:09.000Z,16.32,1004,20,2.68,192,Clouds
2021-07-06T12:15:12.000Z,17.15,1007,90,5.81,228,Clouds
2021-07-06T16:15:10.000Z,21.56,1009,75,3.13,231,Clouds
2021-07-06T20:15:10.000Z,22.14,1010,0,5.14,240,Clear
2021-07-07T00:15:12.000Z,18.4,1011,0,2.06,220,Clear
2021-07-07T04:15:06.000Z,15.5,1013,0,2.57,210,Clear
2021-07-07T08:15:08.000Z,14.45,1013,0,2.57,200,Clear
2021-07-07T12:15:12.000Z,18.84,1015,75,1.79,280,Clouds
2021-07-07T16:15:10.000Z,19.99,1015,90,0.89,235,Clouds
2021-07-07T20:15:11.000Z,22.72,1016,20,0.45,220,Clouds
2021-07-08T00:15:12.000Z,17.39,1017,0,2.06,280,Clear
2021-07-08T04:15:13.000Z,13.83,1019,0,1.54,260,Clear
2021-07-08T08:15:10.000Z,12.49,1020,0,2.57,280,Clear
2021-07-08T12:15:07.000Z,20.05,1021,20,1.34,219,Clouds
2021-07-08T16:15:10.000Z,22,1021,90,2.57,260,Clouds
2021-07-08T20:15:07.000Z,22.13,1021,75,0.89,42,Clouds
2021-07-09T00:15:10.000Z,18.15,1023,0,2.57,350,Clear
2021-07-09T04:15:09.000Z,15.87,1023,0,3.09,310,Clear
2021-07-09T08:15:10.000Z,14.22,1023,0,1.03,360,Clear
2021-07-09T12:15:10.000Z,19.01,1023,90,1.03,0,Clouds
2021-07-09T16:15:13.000Z,22.2,1022,90,0.45,25,Clouds
2021-07-09T20:15:15.000Z,21.71,1020,90,2.06,250,Clouds
2021-07-10T00:15:10.000Z,17.64,1020,0,0,0,Clear
2021-07-10T04:15:09.000Z,15.9,1018,0,0,0,Clear
2021-07-10T08:15:08.000Z,15.53,1017,90,1.54,0,Clouds
2021-07-10T12:15:09.000Z,19.04,1016,0,0.89,272,Clear
2021-07-10T16:15:08.000Z,19.18,1015,90,0.89,229,Clouds
